file;features_before;features_after;size_before_mb;size_after_mb;before_minLon;before_maxLon;before_minLat;before_maxLat;before_centerLon;before_centerLat;before_width_m;before_height_m;after_minLon;after_maxLon;after_minLat;after_maxLat;after_centerLon;after_centerLat;after_width_m;after_height_m
all_features.geojson;76307;76294;33.455;33.344;-117.8852239;-117.6503771;33.5668633;33.7668123;-117.76780049999999;33.666837799999996;21758.29;22258.32;-117.869246;-117.662922;33.584339;33.756051;-117.766084;33.670195;19114.94;19114.98
commercial.geojson;791;788;0.422;0.416;-117.8840817;-117.6619319;33.5825486;33.7491041;-117.77300679999999;33.66582635;20582.17;18540.96;-117.869246;-117.662922;33.584339;33.7491041;-117.766084;33.66672155;19115.71;18341.65
industrial.geojson;245;245;0.101;0.101;-117.8765926;-117.6628338;33.5982061;33.7511852;-117.7697132;33.674695650000004;19802.7;17029.63;-117.869246;-117.662922;33.5982061;33.7511852;-117.766084;33.674695650000004;19113.94;17029.63
mixed.geojson;0;0;0.0;0.0;;;;;;;;;;;;;;;;
office.geojson;287;287;0.127;0.126;-117.8695975;-117.6714441;33.584796;33.7535976;-117.7705208;33.669196799999995;18358.18;18790.99;-117.869246;-117.6714441;33.584796;33.7535976;-117.77034505;33.669196799999995;18325.62;18790.99
parking.geojson;2073;2070;1.255;1.247;-117.8700791;-117.661515;33.5840061;33.7562419;-117.76579705;33.670124;19322.49;19173.29;-117.869246;-117.662922;33.584339;33.756051;-117.766084;33.670195;19114.94;19114.98
paths.geojson;18607;18607;9.062;9.031;-117.8780975;-117.6545741;33.5748192;33.7612966;-117.76633580000001;33.6680579;20708.9;20758.66;-117.869246;-117.662922;33.584339;33.756051;-117.766084;33.670195;19114.94;19114.98
residential.geojson;698;691;0.561;0.54;-117.8846338;-117.6582505;33.5668633;33.7635737;-117.77144215;33.6652185;20974.55;21897.8;-117.869246;-117.662922;33.584339;33.756051;-117.766084;33.670195;19114.94;19114.98
retail.geojson;252;252;0.137;0.137;-117.8699979;-117.6610837;33.5839691;33.7521735;-117.7655408;33.668071299999994;19355.39;18724.51;-117.869246;-117.662922;33.584339;33.7521735;-117.766084;33.66825625;19115.37;18683.34
roads.geojson;53354;53354;21.79;21.746;-117.8852239;-117.6503771;33.5746259;33.7668123;-117.76780049999999;33.6707191;21757.31;21394.19;-117.869246;-117.662922;33.584339;33.756051;-117.766084;33.670195;19114.94;19114.98
transport_lines.geojson;71961;71961;30.852;30.778;-117.8852239;-117.6503771;33.5746259;33.7668123;-117.76780049999999;33.6707191;21757.31;21394.19;-117.869246;-117.662922;33.584339;33.756051;-117.766084;33.670195;19114.94;19114.98
zoning_polygons.geojson;4346;4333;2.604;2.566;-117.8846338;-117.6582505;33.5668633;33.7635737;-117.77144215;33.6652185;20974.55;21897.8;-117.869246;-117.662922;33.584339;33.756051;-117.766084;33.670195;19114.94;19114.98
