dataset;objects;coords;geometry;minLat;maxLat;minLon;maxLon;centerLat;centerLon;width_m;height_m
DATA_RESIDENTIAL;698;17502;Polygon;33.5668633;33.7635737;-117.8846338;-117.6582505;33.6652185;-117.77144215;20974.55;21897.8
DATA_COMMERCIAL;791;11465;Polygon;33.5825486;33.7491041;-117.8840817;-117.6619319;33.66582635;-117.77300679999999;20582.17;18540.96
DATA_INDUSTRIAL;245;2426;Polygon;33.5982061;33.7511852;-117.8765926;-117.6628338;33.674695650000004;-117.7697132;19802.7;17029.63
DATA_RETAIL;252;3768;Polygon;33.5839691;33.7521735;-117.8699979;-117.6610837;33.668071299999994;-117.7655408;19355.39;18724.51
DATA_PARKING;2073;36820;Polygon;33.5840061;33.7562419;-117.8700791;-117.661515;33.670124;-117.76579705;19322.49;19173.29
DATA_OFFICE;287;3078;Polygon;33.584796;33.7535976;-117.8695975;-117.6714441;33.669196799999995;-117.7705208;18358.18;18790.99
DATA_MIXED;0;0;Polygon;;;;;;;;
DATA_ROADS;53354;293149;LineString;33.5746259;33.7668123;-117.8852239;-117.6503771;33.6707191;-117.76780049999999;21757.31;21394.19
DATA_PATHS;18607;173969;LineString;33.5748192;33.7612966;-117.8780975;-117.6545741;33.6680579;-117.76633580000001;20708.9;20758.66
